customer_id,full_name,age,monthly_income,employment_years,credit_score,debt_to_income,region,customer_segment,risk_segment
73,Alonso José Eduardo Verdugo,25,169.39,2,528,0.15,México,Economic,High Risk
74,Enrique Olivas,38,259.3,12,638,0.17,Yucatán,Economic,High Risk
75,Hilda Loera Peralta,63,270.07,21,511,0.36,Querétaro,Economic,High Risk
76,Débora Claudia Miramontes Ozuna,56,338.79,36,594,0.28,Durango,Economic,High Risk
77,Sra. Adriana Archuleta,51,311.67,3,617,0.35,Nayarit,Economic,High Risk
78,Karla Dulce María Gaytán,55,109.23,34,583,0.13,Durango,Economic,High Risk
79,Gloria Muñiz Bahena,39,267.44,3,504,0.22,México,Economic,High Risk
80,Dr. Leonardo Bustos,25,265.23,0,618,0.59,Aguascalientes,Economic,High Risk
81,Ing. Silvano Arenas,23,311.23,0,646,0.23,Chiapas,Economic,High Risk
82,Leticia Antonia Iglesias Heredia,61,238.83,28,580,0.46,Veracruz de Ignacio de la Llave,Economic,High Risk
83,Lic. Camila Ávila,25,144.6,0,634,0.54,Querétaro,Economic,High Risk
84,Silvia Bermúdez Arredondo,50,105.44,10,560,0.17,Colima,Economic,High Risk
85,Lic. Aurelio Cortés,38,204.24,10,618,0.41,Oaxaca,Economic,High Risk
86,Jacinto Jerónimo Montero Esquibel,58,187.56,25,651,0.17,México,Economic,Medium Risk
87,Modesto Mauricio Hernandes Pelayo,64,299.01,28,604,0.35,Puebla,Economic,High Risk
88,Roberto Antonio Carrera,39,413.24,1,539,0.34,Nuevo León,Economic,High Risk
89,Ing. Diego Concepción,25,,0,545,0.15,Chihuahua,Economic,High Risk
90,Lourdes Jaimes,55,357.17,9,544,0.36,Coahuila de Zaragoza,Economic,High Risk
91,Lic. Diego Miranda,25,144.92,5,674,0.23,Chihuahua,Economic,Medium Risk
92,Esteban Figueroa,24,121.18,0,518,0.39,Puebla,Economic,High Risk
93,Clemente Jaime,37,147.17,3,619,0.58,Chiapas,Economic,High Risk
94,Felix Mauro Mascareñas,37,289.36,1,533,0.25,Quintana Roo,Economic,High Risk
95,Augusto Longoria,33,581.84,6,662,0.1,Yucatán,Economic,Medium Risk
96,Ramón Terán,56,170.32,14,656,0.46,Hidalgo,Economic,Medium Risk
97,Bruno Olivo,69,70.65,29,676,0.33,San Luis Potosí,Economic,Medium Risk
98,Lucas Miguel Ángel Torres,22,229.53,0,667,0.38,Veracruz de Ignacio de la Llave,Economic,Medium Risk
99,Elias Gabriel Jiménez Carvajal,69,246.91,38,627,0.12,Guerrero,Economic,High Risk
100,Julio César Abraham Mata,36,110.12,0,563,0.21,Durango,Economic,High Risk
101,Lorenzo Ángel Sotelo,70,119.56,8,634,0.47,Morelos,Economic,High Risk
102,René Guardado,26,292.07,0,668,0.14,Coahuila de Zaragoza,Economic,Medium Risk
103,Benito Clemente Collazo,62,191.37,30,663,0.46,Michoacán de Ocampo,Economic,Medium Risk
104,José Carlos Andrés Escalante Grijalva,27,512.1,5,600,0.43,Nuevo León,Economic,High Risk
105,María del Carmen Karina Alba,65,155.41,34,624,0.13,Chihuahua,Economic,High Risk
106,Luis Manuel Teodoro Mercado,25,214.39,3,643,0.24,San Luis Potosí,Economic,High Risk
107,Helena Guillermina Gamboa,45,201.05,24,529,0.55,Campeche,Economic,High Risk
108,Judith Briones Carmona,62,149.27,24,590,0.59,Puebla,Economic,High Risk
109,Lic. Maximiliano Santana,31,172.25,6,525,0.34,Nuevo León,Economic,High Risk
110,Francisco José Guardado,57,151.29,23,581,0.45,Yucatán,Economic,High Risk
111,Anabel Barbara Chacón Montaño,56,164.72,7,633,0.33,Distrito Federal,Economic,High Risk
112,Sofía Linares,43,286.59,21,519,0.34,Tlaxcala,Economic,High Risk
113,Víctor Carbajal Pedroza,24,434.27,1,512,0.57,Durango,Economic,High Risk
114,Sr. Felipe Medina,70,316.58,39,580,0.37,Sinaloa,Economic,High Risk
115,Raquel Alemán,24,328.94,0,602,0.25,Sinaloa,Economic,High Risk
116,Cecilia Posada Gaytán,48,147.95,11,642,0.37,México,Economic,High Risk
117,Ana María María del Carmen Aparicio,63,163.96,24,580,0.36,Coahuila de Zaragoza,Economic,High Risk
118,Ignacio Angulo,68,226.19,36,558,0.52,Durango,Economic,High Risk
119,Agustín Madrid,57,896.33,8,639,0.48,Sonora,Economic,High Risk
120,Abelardo Caballero,25,190.2,1,514,0.23,Jalisco,Economic,High Risk
121,Cristian Estrada Lerma,58,276.6,5,562,0.48,Tabasco,Economic,High Risk
122,Eduardo Archuleta,26,312.58,3,585,0.13,Quintana Roo,Economic,High Risk
123,Hernán Alfonso Manzanares,35,203.27,2,533,0.4,Colima,Economic,High Risk
124,Gilberto Ramírez,41,79.93,7,548,0.3,Guanajuato,Economic,High Risk
125,María Luisa Botello,53,94.82,30,522,0.43,Morelos,Economic,High Risk
126,Luis Manuel Porfirio Guerrero,44,,7,536,0.36,Tabasco,Economic,High Risk
127,Lic. Joaquín Gaona,40,271.47,15,601,0.12,Yucatán,Economic,High Risk
128,César Porfirio Méndez Alcaraz,36,403.75,9,674,0.32,Tamaulipas,Economic,Medium Risk
129,Julio Joaquín Loya Colunga,67,100.55,2,650,0.33,Chiapas,Economic,Medium Risk
130,Flavio Bahena,52,96.37,14,627,0.59,Guanajuato,Economic,High Risk
131,Cristobal Fidel Padrón Alcántar,22,390.51,0,521,0.28,Colima,Economic,High Risk
132,Jos Rodrigo Ceja,53,436.45,19,550,0.12,Yucatán,Economic,High Risk
133,Georgina Sara Chapa Ruiz,29,367.7,0,618,0.42,Campeche,Economic,High Risk
134,Raquel Linda Mares Baeza,48,152.41,4,637,0.28,Durango,Economic,High Risk
135,María Eugenia Trejo Lucio,57,90.63,2,578,0.45,Tamaulipas,Economic,High Risk
136,Ana Rosa Adame,28,309.55,9,656,0.4,Colima,Economic,Medium Risk
137,Jerónimo Fernando Juárez,34,129.08,7,533,0.55,Campeche,Economic,High Risk
138,Lic. Jaime Loya,46,213.03,0,644,0.46,Durango,Economic,High Risk
139,Dr. Gilberto Luevano,49,190.23,25,510,0.5,Querétaro,Economic,High Risk
140,Joaquín Modesto Pérez Esparza,68,253.71,15,615,0.37,Baja California Sur,Economic,High Risk
141,Srita. Eugenia Ozuna,54,138.78,26,602,0.53,Chihuahua,Economic,High Risk
142,Anabel Serrano,51,237.95,22,567,0.19,Baja California Sur,Economic,High Risk
143,Lic. Minerva Tórrez,69,96.5,27,660,0.49,Baja California Sur,Economic,Medium Risk
144,Vicente Fernando Meza Carranza,48,156.97,9,600,0.42,Baja California Sur,Economic,High Risk
145,Guadalupe Montaño,59,224.73,8,551,0.52,Sonora,Economic,High Risk
146,Isabela Salma Valle Benítez,21,161.76,0,635,0.52,Campeche,Economic,High Risk
147,Cynthia Sotelo,64,146.93,24,514,0.31,Campeche,Economic,High Risk
148,Andrés Julio Véliz,23,206.19,3,655,0.17,Nuevo León,Economic,Medium Risk
149,Benjamín Martín Ornelas Ontiveros,64,245.28,39,587,0.57,Durango,Economic,High Risk
150,Dra. Hilda Valencia,67,158.72,29,597,0.55,Yucatán,Economic,High Risk
151,Blanca Segovia Cervantes,70,,10,592,0.27,Colima,Economic,High Risk
152,Mariana Partida Nevárez,61,305.14,2,660,0.37,Campeche,Economic,Medium Risk
153,Armando Zapata Roybal,31,271.47,6,600,0.29,Durango,Economic,High Risk
154,Ramón Maximiliano Lucio Meza,44,479.76,15,601,0.41,Sinaloa,Economic,High Risk
155,Ing. Josefina Pérez,26,227.99,3,657,0.47,Quintana Roo,Economic,Medium Risk
156,Zoé Martínez Peña,41,307.25,1,613,0.26,Guerrero,Economic,High Risk
157,Eugenia Adela Ledesma,54,270.21,27,677,0.22,Aguascalientes,Economic,Medium Risk
158,Karla Patricia Salcedo Muñiz,30,138.42,4,651,0.45,Nuevo León,Economic,Medium Risk
159,Srita. Itzel García,30,151.88,3,609,0.13,México,Economic,High Risk
160,Juan Uriel Henríquez Rodarte,34,285.08,11,567,0.28,Aguascalientes,Economic,High Risk
161,Carla Vásquez,54,167.82,22,610,0.58,Durango,Economic,High Risk
162,Dra. Olga Ortega,21,89.87,1,654,0.55,Zacatecas,Economic,Medium Risk
163,Clara Abril Godoy,25,254.19,4,544,0.37,Tlaxcala,Economic,High Risk
164,Inés Bahena,57,300.91,27,578,0.52,Michoacán de Ocampo,Economic,High Risk
165,Felix Serafín Saavedra,59,267.28,1,593,0.26,Tamaulipas,Economic,High Risk
166,Iván Bernal,36,134.27,6,632,0.13,Quintana Roo,Economic,High Risk
167,Alejandro Gilberto Cordero Paredes,27,151.47,0,645,0.31,Tlaxcala,Economic,High Risk
168,Abelardo Cedillo Valladares,70,161.32,20,513,0.36,Sonora,Economic,High Risk
169,Srita. Natalia Tejada,24,222.42,2,660,0.36,San Luis Potosí,Economic,Medium Risk
170,Rufino Timoteo Jaramillo,38,242.92,5,575,0.21,Guerrero,Economic,High Risk
171,Blanca Virginia Zambrano Espinosa,56,265.77,12,561,0.28,San Luis Potosí,Economic,High Risk
172,Mercedes Lilia Contreras Sepúlveda,30,145.54,0,661,0.38,Baja California,Economic,Medium Risk
173,Judith Bustos Salinas,24,171.6,1,565,0.13,Tamaulipas,Economic,High Risk
174,Ofelia Micaela Hernandes,53,341.98,3,501,0.35,Jalisco,Economic,High Risk
175,Srita. Mariana Barreto,37,419.81,11,637,0.49,Nayarit,Economic,High Risk
176,José Eduardo Cuellar,64,128.04,14,560,0.27,Aguascalientes,Economic,High Risk
177,José Luis Aurelio Berríos,26,385.69,1,622,0.18,Hidalgo,Economic,High Risk
178,Ariadna Quezada Malave,41,239.68,14,639,0.33,Distrito Federal,Economic,High Risk
179,Lic. Laura Badillo,70,336.02,15,640,0.44,México,Economic,High Risk
180,Elisa Marisela Cordero Alva,60,352.34,33,662,0.43,Chihuahua,Economic,Medium Risk
181,Ing. Mitzy Cabrera,57,357.73,25,561,0.25,Oaxaca,Economic,High Risk
182,Eric Gustavo Barrientos,62,168.88,5,539,0.41,Nuevo León,Economic,High Risk
183,Elvia Luevano,61,276.91,18,518,0.25,Durango,Economic,High Risk
184,Olga Puente,57,156.77,39,664,0.19,Yucatán,Economic,Medium Risk
185,Andrés Jáquez,39,131.17,13,599,0.41,Distrito Federal,Economic,High Risk
186,Rodolfo Mario Molina Solís,67,171.18,10,522,0.36,Campeche,Economic,High Risk
187,Jacobo Roberto Carbajal Yáñez,46,360.24,22,653,0.24,Michoacán de Ocampo,Economic,Medium Risk
188,Lic. Reina Carrión,62,420.81,29,551,0.49,Tabasco,Economic,High Risk
189,Sra. Marisela Gamez,70,185.12,29,590,0.18,Sonora,Economic,High Risk
190,Héctor Darío Sáenz,36,319.01,11,609,0.31,Veracruz de Ignacio de la Llave,Economic,High Risk
191,Vanesa Tafoya Sanabria,30,164.71,9,660,0.54,Campeche,Economic,Medium Risk
192,Srita. Cynthia Ramírez,26,267.21,0,663,0.18,Querétaro,Economic,Medium Risk
193,Lucas Villarreal,30,179.95,1,510,0.27,Guanajuato,Economic,High Risk
194,Susana Zúñiga Trejo,38,292.9,10,664,0.51,Tabasco,Economic,Medium Risk
195,Barbara Tejeda,53,236.22,20,615,0.15,Quintana Roo,Economic,High Risk
196,Srita. Georgina Flórez,38,125.66,6,546,0.42,Nuevo León,Economic,High Risk
197,Claudio Almanza,21,152.69,0,630,0.32,Distrito Federal,Economic,High Risk
198,Sr. Oswaldo Lozada,59,183.48,29,573,0.23,Durango,Economic,High Risk
199,Wendolin Rodríquez,59,132.5,14,667,0.37,Guanajuato,Economic,Medium Risk
200,Dr. Teodoro Toledo,55,179.26,29,512,0.2,Oaxaca,Economic,High Risk
201,Liliana María del Carmen Arreola Villalpando,55,176.77,34,659,0.59,Coahuila de Zaragoza,Economic,Medium Risk
202,Leonardo Alberto Solano Jurado,69,308.11,31,601,0.51,Guerrero,Economic,High Risk
203,Sr. Emilio Corral,42,126.21,16,568,0.36,Jalisco,Economic,High Risk
204,Socorro Villaseñor,48,,13,512,0.11,Jalisco,Economic,High Risk
205,Carlos Tello,46,326.19,21,579,0.29,Sinaloa,Economic,High Risk
206,Claudio Rubén Valle,40,273.79,12,645,0.27,México,Economic,High Risk
207,Georgina Juana Marrero,27,229.23,0,633,0.52,Colima,Economic,High Risk
208,Tomás Adalberto Sosa,28,220.33,4,663,0.2,Coahuila de Zaragoza,Economic,Medium Risk
209,Ramiro Valenzuela,30,197.39,1,598,0.21,Nuevo León,Economic,High Risk
210,Ing. Abigail Llamas,52,147.07,0,593,0.13,Puebla,Economic,High Risk
211,Germán Merino Gaytán,23,136.96,1,524,0.37,Zacatecas,Economic,High Risk
212,Srita. Úrsula Hidalgo,63,136.53,9,549,0.21,Tamaulipas,Economic,High Risk
213,Ing. Rufino Rosario,29,442.75,7,526,0.21,Chihuahua,Economic,High Risk
214,Elisa Bernal Camacho,30,242.39,1,649,0.23,Baja California Sur,Economic,High Risk
215,Sra. Antonia Canales,50,123.38,17,562,0.59,San Luis Potosí,Economic,High Risk
216,Augusto Rodríquez,43,265.74,0,509,0.49,Quintana Roo,Economic,High Risk
217,Eugenio Francisco Vergara,39,111.95,13,647,0.35,Durango,Economic,High Risk
218,Isabel Perla Jaimes Molina,24,212.5,2,615,0.55,Morelos,Economic,High Risk
219,Lic. Gloria Briseño,32,360.76,7,621,0.59,Guerrero,Economic,High Risk
220,Ramiro Morales,54,195.88,14,648,0.23,Tamaulipas,Economic,High Risk
221,Héctor Velázquez,43,345.82,1,595,0.57,Tlaxcala,Economic,High Risk
222,Enrique Miguel Negrón Sisneros,52,383.52,13,620,0.11,Tamaulipas,Economic,High Risk
223,Alma Valdés Santana,36,218.38,4,565,0.38,Chiapas,Economic,High Risk
224,Carlota Collado Esquivel,49,480.31,24,599,0.58,Yucatán,Economic,High Risk
225,Óscar Flórez Cano,30,358.07,8,640,0.23,Jalisco,Economic,High Risk
226,Lic. Esteban Saiz,55,186.84,20,578,0.38,Tlaxcala,Economic,High Risk
227,Alma Ulibarri,54,256.78,27,505,0.45,Baja California,Economic,High Risk
228,Yolanda Micaela Macías Muñoz,56,549.53,25,640,0.12,Tamaulipas,Economic,High Risk
229,José Alemán,29,371.01,4,650,0.4,Distrito Federal,Economic,Medium Risk
230,Silvano Espartaco Macías,56,397.93,8,559,0.32,San Luis Potosí,Economic,High Risk
231,Estefanía Muñiz,65,162.86,23,527,0.29,Yucatán,Economic,High Risk
232,Lic. Guillermo Sauceda,61,128.85,21,514,0.45,Baja California,Economic,High Risk
233,Dulce María Meraz Cotto,40,165.82,3,649,0.46,Colima,Economic,High Risk
234,Florencia Villa,43,433.66,0,540,0.47,Jalisco,Economic,High Risk
235,Ignacio Salgado Collazo,36,529.63,10,570,0.5,San Luis Potosí,Economic,High Risk
236,Lorenzo Julio César Suárez,26,225.67,1,654,0.45,Sinaloa,Economic,Medium Risk
237,Zoé Silvia Colunga,33,181.25,3,543,0.43,Tabasco,Economic,High Risk
238,Alberto Rubio,48,205.49,7,554,0.6,Aguascalientes,Economic,High Risk
239,Mario Guillen Saucedo,21,164.09,2,677,0.25,Aguascalientes,Economic,Medium Risk
240,Lic. Héctor Ruiz,25,565.45,0,639,0.39,San Luis Potosí,Economic,High Risk
241,Karla Estévez,42,238.93,10,622,0.27,Veracruz de Ignacio de la Llave,Economic,High Risk
242,José Emilio Corrales,32,157.8,1,502,0.47,Zacatecas,Economic,High Risk
243,Sra. Nayeli Rivas,39,174.83,1,618,0.4,Yucatán,Economic,High Risk
244,Nayeli Juana Vélez,50,110.91,21,670,0.16,Jalisco,Economic,Medium Risk
245,Miriam Luna,68,292.01,3,630,0.46,Morelos,Economic,High Risk
246,Rodrigo Jaimes Caldera,21,217.03,0,549,0.47,Tlaxcala,Economic,High Risk
247,Hugo Gálvez,31,139.31,0,615,0.53,Querétaro,Economic,High Risk
248,Dr. Ricardo Villarreal,69,291.09,24,569,0.33,Michoacán de Ocampo,Economic,High Risk
249,Leticia Fonseca,43,328.32,14,535,0.23,Morelos,Economic,High Risk
250,Genaro Borrego Espinosa,53,429.81,12,516,0.25,México,Economic,High Risk
251,Lourdes Casares Tejada,70,121.17,23,557,0.22,Morelos,Economic,High Risk
252,Irma Miranda Luna,35,184.5,9,579,0.49,Nuevo León,Economic,High Risk
253,Adalberto Humberto Nieto Alvarez,58,128.3,6,652,0.41,Hidalgo,Economic,Medium Risk
254,Lic. José Emilio Bétancourt,59,,1,507,0.51,Nuevo León,Economic,High Risk
255,Wilfrido Hidalgo,43,258.75,14,537,0.29,Colima,Economic,High Risk
256,Sessa Luz Pedroza,50,139.35,15,627,0.2,Quintana Roo,Economic,High Risk
257,Adela Hilda Cepeda Vázquez,59,280.07,17,512,0.56,Yucatán,Economic,High Risk
258,Francisca Velásquez Ceja,48,220.35,12,631,0.59,Guerrero,Economic,High Risk
259,José Manuél Ordóñez,46,176.71,19,608,0.23,Chihuahua,Economic,High Risk
260,Elisa Huerta,32,435.11,9,583,0.4,Sinaloa,Economic,High Risk
261,Dra. Rocío Olivo,25,188.29,0,636,0.31,Veracruz de Ignacio de la Llave,Economic,High Risk
262,Emiliano Uriel Galarza Rivero,58,243.2,15,632,0.55,Sonora,Economic,High Risk
263,Ariadna Olmos,61,328.92,40,511,0.41,Yucatán,Economic,High Risk
264,Felipe Modesto Acosta Patiño,53,189.0,13,592,0.33,Quintana Roo,Economic,High Risk
265,Srita. Rosario Orosco,34,123.31,5,637,0.49,Sonora,Economic,High Risk
266,Vicente Humberto Montaño Márquez,65,105.63,20,507,0.46,Baja California,Economic,High Risk
267,Francisco Apodaca Barraza,55,465.45,1,603,0.43,Morelos,Economic,High Risk
268,Marcos Pedro Botello,39,134.7,16,659,0.15,Baja California,Economic,Medium Risk
269,Lic. Dulce María Rincón,35,181.58,8,583,0.15,Colima,Economic,High Risk
270,Reina Pineda,49,157.72,8,639,0.58,Hidalgo,Economic,High Risk
271,Graciela Tamez Esparza,35,315.3,9,518,0.24,Coahuila de Zaragoza,Economic,High Risk
272,Víctor Barajas,47,143.18,26,653,0.4,Jalisco,Economic,Medium Risk
273,Benjamín Aparicio Luevano,27,274.78,3,657,0.11,Coahuila de Zaragoza,Economic,Medium Risk
274,Ing. Hugo Vásquez,66,169.83,30,660,0.18,Chiapas,Economic,Medium Risk
275,Juan Mojica Romo,57,252.58,16,591,0.42,Campeche,Economic,High Risk
276,José Carlos Lorenzo Matías,28,283.74,2,581,0.47,Nayarit,Economic,High Risk
277,Ing. Antonio Mejía,64,195.78,39,658,0.55,Nayarit,Economic,Medium Risk
278,José Carlos Nicolás Meza Barrera,36,222.78,11,518,0.14,Quintana Roo,Economic,High Risk
279,Julio César Casas,34,187.41,2,613,0.32,Sinaloa,Economic,High Risk
280,Alejandro Ávalos,61,180.34,2,605,0.38,Guerrero,Economic,High Risk
281,Ing. Lucía Rolón,48,161.4,24,613,0.42,Veracruz de Ignacio de la Llave,Economic,High Risk
282,Nicolás Fidel Ávalos Holguín,70,374.53,49,582,0.27,San Luis Potosí,Economic,High Risk
283,Gustavo Humberto Montes,23,291.81,0,649,0.5,Morelos,Economic,High Risk
284,Magdalena Montenegro,27,266.58,2,556,0.37,Yucatán,Economic,High Risk
285,Ing. José Carlos Calvillo,65,109.77,15,612,0.4,Jalisco,Economic,High Risk
286,Darío Godínez,51,203.95,19,558,0.27,Zacatecas,Economic,High Risk
287,Sra. Amalia Garza,32,217.28,10,593,0.27,Sinaloa,Economic,High Risk
288,Claudia Nadia Aguilera Mondragón,49,93.02,19,581,0.57,Baja California Sur,Economic,High Risk
289,Daniela Margarita Crespo Benítez,48,221.35,5,613,0.29,Colima,Economic,High Risk
290,Dr. Silvano Rubio,70,235.11,22,564,0.58,Nayarit,Economic,High Risk
291,Carlota Graciela Armas Prado,36,109.94,11,518,0.56,Distrito Federal,Economic,High Risk
292,Martín Rosas Marín,60,398.78,31,658,0.12,Quintana Roo,Economic,Medium Risk
293,Jonás Omar Burgos,46,414.38,19,651,0.4,Aguascalientes,Economic,Medium Risk
294,Miguel Nicolás Adame Alemán,50,258.98,24,547,0.48,Sinaloa,Economic,High Risk
295,Reynaldo Santana,37,194.49,11,535,0.28,Hidalgo,Economic,High Risk
296,Porfirio Palacios Oquendo,31,225.94,7,670,0.38,Sonora,Economic,Medium Risk
297,Marcela Lebrón,38,326.14,15,524,0.23,Guanajuato,Economic,High Risk
298,Ruby Carmen Rubio Figueroa,21,259.4,0,585,0.14,San Luis Potosí,Economic,High Risk
299,Israel Delgadillo Tapia,33,174.82,10,551,0.17,Quintana Roo,Economic,High Risk
300,Alberto Rodolfo Brito Fierro,28,192.27,3,502,0.51,Zacatecas,Economic,High Risk
301,Camilo Salvador Chacón Salcedo,40,153.06,11,642,0.49,Sinaloa,Economic,High Risk
302,Lic. Mónica Aranda,56,274.11,1,679,0.41,Morelos,Economic,Medium Risk
303,Josefina Mendoza,54,329.06,22,546,0.52,Guanajuato,Economic,High Risk
304,Ing. Miguel Cabrera,48,,25,514,0.2,Jalisco,Economic,High Risk
305,Dra. Leticia Prado,63,263.41,32,529,0.33,México,Economic,High Risk
306,Clemente Ontiveros Barrera,40,203.04,17,532,0.27,Colima,Economic,High Risk
